|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
697|Moontoast|6000000.0|E-Commerce|17998631|operating|USA|San Francisco|5|2008.0|online platforms and marketplaces|0
698|Moove In|67567.0|Social Network Media|67567||||1|2014.0|online platforms and marketplaces|0
699|Mopio|16645.0|E-Commerce|16645|operating|GBR|London|1|2014.0|online platforms and marketplaces|0
700|Moreboats|225000.0|Marketplaces|225000|operating|||1|2012.0|online platforms and marketplaces|0
701|Move Loot|2800000.0|E-Commerce|2800000|operating|USA|San Francisco|1|2013.0|online platforms and marketplaces|0
702|MoveThatBlock.com|1050000.0|Real Estate|1050000|operating|USA|Lyndonville|1|2010.0|online platforms and marketplaces|1
703|Mr Banana|80149.0|Marketplaces|80149|operating|GBR|London|1|2014.0|online platforms and marketplaces|0
704|My Friend's Lane|10000.0|E-Commerce|10000|operating|USA|Avondale Estates|1|2012.0|online platforms and marketplaces|0
705|My Hood|40000.0|E-Commerce|40000|operating|CHL|Santiago|1|2013.0|online platforms and marketplaces|0
706|MyDealBoard.com|102372.0|Curated Web|102372|operating|CAN|Mississauga|1|2010.0|online platforms and marketplaces|1
707|MyGeekDay|100000.0|E-Commerce|100000|operating|CAN|Ottawa|1|2011.0|online platforms and marketplaces|0
708|MyJobCompany|800000.0|Media|800000|operating|CHL|Providencia|1|2011.0|online platforms and marketplaces|0
709|MyMedLeads.com|350000.0|Software|350000|operating|USA|Austin|1|2009.0|online platforms and marketplaces|1
710|MyNewDeals.com|200000.0|Hotels|200000|operating|IND|Ahmedabad|1|2011.0|online platforms and marketplaces|1
711|MyNines|500000.0|E-Commerce|500000|operating|USA|New York|1|2009.0|online platforms and marketplaces|0
712|MySocialCloud.com|1000000.0|Cloud Computing|1000000|acquired|USA|Lucerne Valley|1|2011.0|online platforms and marketplaces|1
713|Myfacepage|1500000.0|Social Media|1500000|operating|USA|San Jose|1|2010.0|online platforms and marketplaces|0
714|Méliuz|40000.0|E-Commerce|240000|operating|BRA|Belo Horizonte|2|2011.0|online platforms and marketplaces|0
715|NATIONSPLAY|1900000.0|Social Media|1900000|operating|RUS|Moscow|1|2013.0|online platforms and marketplaces|0
716|NORCAT|1000000.0|E-Commerce|1000000|operating|CAN|Toronto|1|1995.0|online platforms and marketplaces|0
717|Naplyrics.com|250000.0|Video|250000|operating|CAN|Edmonton|1|2011.0|online platforms and marketplaces|1
718|Narvar|2000000.0|E-Commerce|2000000|operating|USA|San Francisco|1|2012.0|online platforms and marketplaces|0
719|NatSent|70000.0|Social Media|70000|closed|USA|Houston|1|2010.0|online platforms and marketplaces|0
720|NeGoBuY|250000.0|E-Commerce|250000|closed|||1|2009.0|online platforms and marketplaces|0
721|Nearbox|25000.0|Social Network Media|25000|operating|POL|Cracow|1|2012.0|online platforms and marketplaces|0
722|Needium|1000000.0|Social Media|1000000|closed|CAN|Montréal|1|2010.0|online platforms and marketplaces|0
723|Netnui.com|40000.0|Analytics|40000|operating|CHL|Santiago|1|2012.0|online platforms and marketplaces|1
724|Netsket|64870.0|Social Media|64870|operating|||2|2006.0|online platforms and marketplaces|0
725|NetworkingPhoenix.com|300000.0|Curated Web|300000|operating|USA|Scottsdale|1|2008.0|online platforms and marketplaces|1
726|NewTide Commerce|450000.0|E-Commerce|450000|operating|USA|Boulder|1|2012.0|online platforms and marketplaces|0
