|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
2176|DSTLD|1000000.0|Fashion|6400000.0|operating|USA|Los Angeles|5.0|2012.0|other consumer retail
2177|DTU CORP|50000.0|Education|100000.0|operating|VNM|Ho Chi Minh City|2.0|2008.0|education
2178|DUHEM|50000.0|Social Commerce|50000.0|operating|PER|Lima|1.0|2012.0|online platforms and marketplaces
2179|DUQI.COM|100000.0|Curated Web|100000.0|closed|CHN|Shanghai|1.0|2010.0|services
2180|DYNAGENT SOFTWARE SL|1215385.0||||||||
2181|DaWanda|63621.0|Social Network Media|5260821.0|operating|DEU|Berlin|4.0|2006.0|online platforms and marketplaces
2182|DadShed|21211.0||||||||
2183|Dada Room|89682.0||||||||
2184|DadaJOE.com|100000.0|Payments|100000.0|operating|USA|Wilmington|1.0|2013.0|financials
2185|DaggerFoil Group|100000.0|Business Services|100000.0|operating|USA|San Francisco|1.0|2013.0|services
2186|Dagne Dover|1300000.0|Fashion|1300000.0|operating|USA|New York|2.0|2012.0|other consumer retail
2187|Daily Secret|1850000.0|Content|4350000.0|operating|USA|New York|3.0|2010.0|events, travels, leisure and entertainment
2188|DailyBooth|15000.0|Photo Sharing|7015000.0|acquired|USA|San Francisco|3.0|2009.0|events, travels, leisure and entertainment
2189|DailyBurn|540000.0||||||||
2190|DailyCred|420000.0|Curated Web|420000.0|operating|USA|San Francisco|2.0|2011.0|services
